Sample_name	Class	Group	Control	Acetone	Cd	Cd_low	Cd_high	Met	Met_low	Met_high	Pyr	Pyr_low	Pyr_high
C-1	Control	Control	1	0	0	0	0	0	0	0	0	0	0
C-2	Control	Control	1	0	0	0	0	0	0	0	0	0	0
C-3	Control	Control	1	0	0	0	0	0	0	0	0	0	0
C-4	Control	Control	1	0	0	0	0	0	0	0	0	0	0
C-5	Control	Control	1	0	0	0	0	0	0	0	0	0	0
C-Ac-1	Control	Acetone	0	1	0	0	0	0	0	0	0	0	0
C-Ac-2	Control	Acetone	0	1	0	0	0	0	0	0	0	0	0
C-Ac-3	Control	Acetone	0	1	0	0	0	0	0	0	0	0	0
C-Ac-4	Control	Acetone	0	1	0	0	0	0	0	0	0	0	0
C-Ac-5	Control	Acetone	0	1	0	0	0	0	0	0	0	0	0
Cd-C1-1	Cd	Cd_low	0	0	1	1	0	0	0	0	0	0	0
Cd-C1-2	Cd	Cd_low	0	0	1	1	0	0	0	0	0	0	0
Cd-C1-3	Cd	Cd_low	0	0	1	1	0	0	0	0	0	0	0
Cd-C1-4	Cd	Cd_low	0	0	1	1	0	0	0	0	0	0	0
Cd-C1-5	Cd	Cd_low	0	0	1	1	0	0	0	0	0	0	0
Cd-C3-1	Cd	Cd_high	0	0	1	0	1	0	0	0	0	0	0
Cd-C3-2	Cd	Cd_high	0	0	1	0	1	0	0	0	0	0	0
Cd-C3-3	Cd	Cd_high	0	0	1	0	1	0	0	0	0	0	0
Cd-C3-4	Cd	Cd_high	0	0	1	0	1	0	0	0	0	0	0
Cd-C3-5	Cd	Cd_high	0	0	1	0	1	0	0	0	0	0	0
MET-C1-1	Met	Met_low	0	0	0	0	0	1	1	0	0	0	0
MET-C1-2	Met	Met_low	0	0	0	0	0	1	1	0	0	0	0
MET-C1-3	Met	Met_low	0	0	0	0	0	1	1	0	0	0	0
MET-C1-4	Met	Met_low	0	0	0	0	0	1	1	0	0	0	0
MET-C1-5	Met	Met_low	0	0	0	0	0	1	1	0	0	0	0
MET-C2-1	Met	Met_mid	0	0	0	0	0	1	0	1	0	0	0
MET-C2-2	Met	Met_mid	0	0	0	0	0	1	0	1	0	0	0
MET-C2-3	Met	Met_mid	0	0	0	0	0	1	0	1	0	0	0
MET-C2-4	Met	Met_mid	0	0	0	0	0	1	0	1	0	0	0
MET-C2-5	Met	Met_mid	0	0	0	0	0	1	0	1	0	0	0
PYR-C1-1	Pyr	Pyr_low	0	0	0	0	0	0	0	0	1	1	0
PYR-C1-2	Pyr	Pyr_low	0	0	0	0	0	0	0	0	1	1	0
PYR-C1-3	Pyr	Pyr_low	0	0	0	0	0	0	0	0	1	1	0
PYR-C1-4	Pyr	Pyr_low	0	0	0	0	0	0	0	0	1	1	0
PYR-C1-5	Pyr	Pyr_low	0	0	0	0	0	0	0	0	1	1	0
PYR-C3-1	Pyr	Pyr_high	0	0	0	0	0	0	0	0	1	0	1
PYR-C3-2	Pyr	Pyr_high	0	0	0	0	0	0	0	0	1	0	1
PYR-C3-3	Pyr	Pyr_high	0	0	0	0	0	0	0	0	1	0	1
PYR-C3-4	Pyr	Pyr_high	0	0	0	0	0	0	0	0	1	0	1
PYR-C3-5	Pyr	Pyr_high	0	0	0	0	0	0	0	0	1	0	1
