GFOSS_contig_ID	C-1	C-2	C-3	C-4	C-5	C-Ac-1	C-Ac-2	C-Ac-3	C-Ac-4	C-Ac-5	Cd-C1-1	Cd-C1-2	Cd-C1-3	Cd-C1-4	Cd-C1-5	Cd-C3-1	Cd-C3-2	Cd-C3-3	Cd-C3-4	Cd-C3-5	MET-C1-1	MET-C1-2	MET-C1-3	MET-C1-4	MET-C1-5	MET-C2-1	MET-C2-2	MET-C2-3	MET-C2-4	MET-C2-5	PYR-C1-1	PYR-C1-2	PYR-C1-3	PYR-C1-4	PYR-C1-5	PYR-C3-1	PYR-C3-2	PYR-C3-3	PYR-C3-4	PYR-C3-5
8_fr4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14_fr3	26	35	18	26	5	23	30	16	21	9	38	59	48	34	39	47	61	31	51	10	40	6	10	53	40	6	17	30	7	42	30	11	9	29	39	13	13	34	14	1
64_fr6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
108_fr5	2	0	7	0	2	0	0	0	5	6	0	2	0	5	3	0	0	9	0	0	0	0	0	0	0	10	0	1	2	6	0	0	0	0	5	2	0	0	0	2
124_fr5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	2
143_fr6	0	3	0	0	0	0	0	1	1	0	0	1	0	0	1	2	0	2	0	0	2	2	2	0	0	2	0	0	1	0	1	2	0	0	1	0	0	0	0	2
155_fr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
156_fr4	4	5	0	0	1	0	0	0	0	14	7	2	5	0	0	0	3	10	0	0	0	0	0	0	0	0	1	0	1	0	0	2	8	0	3	0	1	0	0	0
202_fr5	4	0	0	1	6	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	2	0	2	0	0	0
343_fr5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
345_fr2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
422_fr4	7	10	8	7	5	7	6	9	4	0	9	14	9	9	9	10	12	10	10	2	8	4	4	10	8	7	10	7	2	8	5	6	6	7	8	6	8	8	8	0
439_fr3	0	9	0	0	0	0	0	0	6	7	0	6	0	3	0	4	0	4	0	0	2	4	10	0	10	12	0	8	11	4	0	11	0	10	0	0	0	0	0	12
441_fr2	2	0	0	1	0	0	0	0	5	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	4	3	0	0	1	2	0	0	3	0	3	1	0	2	0	4
461_fr1	4	10	4	2	5	4	0	4	4	10	0	11	0	7	3	5	0	9	3	0	6	7	17	5	8	6	5	9	6	9	7	11	0	17	6	0	9	0	0	8
470_fr4	10	8	4	1	19	1	0	2	3	25	19	8	11	2	11	5	5	19	3	0	3	4	0	1	2	1	5	6	3	3	3	3	9	5	5	3	4	1	0	1
521_fr6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
525_fr3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
608_fr6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
626_fr4	7	3	0	19	2	16	15	7	26	10	12	2	0	2	8	8	5	0	10	24	18	6	14	9	7	2	2	15	7	8	22	8	0	12	2	11	6	2	8	2
657_fr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	2	5	1	0	0	0	0	0	0	0	1	0	0	0
679_fr1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
697_fr6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
737_fr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
813_fr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
823_fr5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1019_fr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
1038_fr1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
